1,127
2,145
3,162
4,147
5,149
6,173
7,172
8,160
9,167
10,158
11,155
12,150
13,141
14,161
15,163
16,164
17,165
18,160
19,179
20,168
21,164
22,165
23,166
24,162
25,156
26,528
27,810
28,776
29,829
30,774
31,874
32,874
33,893
34,842
35,826
36,900
37,870
38,878
39,885
40,881
41,896
42,856
43,889
44,899
45,761
46,616
47,824
48,874
49,860
50,768
51,883
52,915
53,830
54,863
55,799
56,824
57,825
58,904
59,832
60,824
61,862
62,891
63,889
64,874
65,881
66,890
67,912
68,919
69,616
70,1548
71,1547
72,1513
73,1599
74,1553
75,1560
76,1588
77,1522
78,1614
79,1536
80,1536
81,1568
82,1536
83,1602
84,1588
85,1651
86,1560
87,1443
88,1373
89,1187
90,1494
91,1194
92,1450
93,1389
94,1335
95,1478
96,1511
97,1561
98,1497
99,1415
100,863
101,1349
102,1580
103,1321
104,1435
105,1359
106,1379
107,1555
108,1570
109,1609
110,1601
111,1596
112,1585
113,1563
114,1536
115,1067
116,1622
117,1486
118,1358
119,1494
120,1183
121,1560
122,1510
123,1521
124,1628
125,1526
126,1356
127,1600
128,1644
129,1721
130,1657
131,1678
132,1666
133,1596
134,1629
135,1663
136,1555
137,1362
138,1509
139,1587
140,1652
141,1632
142,1414
143,1468
144,1540
145,1174
146,1261
147,1368
148,1662
149,1727
150,1671
151,1688
152,1666
153,1662
154,1716
155,1658
156,1706
157,1638
158,1741
159,1681
160,1581
161,1504
162,1631
163,1593
164,1515
165,1501
166,1168
167,1480
168,1186
169,1290
170,1268
171,1685
172,1592
173,1590
174,1201
175,1611
176,1621
177,1573
178,1011
179,487
180,458
181,455
182,445
183,471
184,457
185,477
186,469
187,473
188,439
189,466
190,448
191,458
192,466
193,464
194,458
195,468
196,458
197,454
198,473
199,482
200,464
201,446
202,458
203,473
204,458
205,470
206,465
207,462
208,474
209,440
210,465
211,460
212,466
213,463
214,451
215,478
216,453
217,467
218,440
219,19
